,Course Code,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (grade),Scholarship holder,Debtor,Previous qualification (grade),Gender,Attendance,Marital status,Tuition fees up to date,Target,CGPA,DropOff_Rate,Appreciation_Rate
902,9500,27,0,12.8875,0,12.8875,no,no,130.0,male,present,single,yes,Graduate,3.5798611111111107,0.0,0.0
903,9500,18,0,12.95,0,12.95,yes,no,145.0,male,present,single,yes,Graduate,3.597222222222222,0.0,0.0
905,9500,19,0,13.094285714285714,0,12.55,yes,no,114.0,male,present,single,yes,Graduate,3.561706349206349,0.54,0.0
907,9238,19,0,11.714285714285714,0,11.0,yes,no,145.0,male,present,single,yes,Graduate,3.1547619047619047,0.71,0.0
910,9853,18,0,13.166666666666666,0,13.333333333333334,no,no,145.0,male,present,single,yes,Graduate,3.6805555555555554,0.0,0.17
913,8014,42,0,11.2,0,12.0,no,no,130.0,male,absent,married,yes,Graduate,3.222222222222222,0.0,0.8
915,9773,22,0,13.0,0,13.666666666666666,no,no,120.0,male,present,single,yes,Graduate,3.7037037037037033,0.0,0.67
918,9003,43,0,14.166666666666666,0,15.0,no,no,160.0,male,present,married,yes,Graduate,4.050925925925926,0.0,0.83
919,8014,41,0,12.833333333333334,0,12.333333333333334,yes,no,133.1,male,absent,married,yes,Graduate,3.4953703703703702,0.5,0.0
921,8014,35,0,10.833333333333334,0,11.5,yes,no,133.1,male,absent,single,yes,Graduate,3.101851851851852,0.0,0.67
925,9500,26,0,13.7,0,13.7,yes,no,130.0,male,present,single,yes,Graduate,3.8055555555555554,0.0,0.0
931,9853,19,0,13.0,0,13.285714285714286,yes,no,115.0,male,present,single,yes,Graduate,3.6507936507936507,0.0,0.29
932,9670,32,4,13.6,2,15.11111111111111,no,no,110.0,male,present,married,yes,Graduate,3.987654320987654,0.0,1.51
935,171,20,6,13.25,4,14.333333333333334,no,no,145.0,male,present,single,yes,Graduate,3.8310185185185186,0.0,1.08
940,9773,19,0,13.0,0,12.4,no,no,110.0,male,present,single,yes,Graduate,3.5277777777777777,0.6,0.0
941,9238,19,0,14.0,0,12.285714285714286,yes,no,128.0,male,present,single,yes,Graduate,3.6507936507936507,1.71,0.0
944,9130,18,0,15.285714285714286,0,16.075,yes,no,137.0,male,present,single,yes,Graduate,4.355654761904762,0.0,0.79
945,9254,18,0,13.166666666666666,0,12.666666666666666,no,no,123.0,male,present,single,yes,Graduate,3.587962962962963,0.5,0.0
946,9147,19,0,13.6,0,12.833333333333334,no,yes,156.0,female,present,single,yes,Graduate,3.6712962962962963,0.77,0.0
950,9991,30,0,11.0,0,11.6,no,no,130.0,female,absent,single,yes,Graduate,3.138888888888889,0.0,0.6
952,9003,20,0,13.571428571428571,0,12.666666666666666,no,no,140.0,female,present,single,yes,Graduate,3.644179894179894,0.9,0.0
956,9773,19,0,12.0,0,11.666666666666666,yes,no,130.0,female,present,single,yes,Graduate,3.2870370370370368,0.33,0.0
957,9773,19,0,12.5,0,13.0,no,no,115.0,female,present,single,yes,Graduate,3.5416666666666665,0.0,0.5
958,9147,19,0,13.2,0,12.666666666666666,yes,no,150.0,female,present,single,yes,Graduate,3.5925925925925926,0.53,0.0
961,9147,24,10,13.466666666666669,10,13.642857142857142,no,no,141.0,female,present,single,yes,Graduate,3.7652116402116405,0.0,0.18
964,9773,18,0,11.666666666666666,0,10.2,yes,no,121.0,female,present,single,yes,Graduate,3.037037037037037,1.47,0.0
965,9003,21,0,13.4,0,12.4,no,no,120.0,female,present,single,yes,Graduate,3.5833333333333335,1.0,0.0
974,9991,48,0,12.285714285714286,0,11.125,no,no,170.0,female,absent,married,yes,Graduate,3.251488095238095,1.16,0.0
976,9500,24,0,12.666666666666666,0,12.666666666666666,no,no,133.1,female,present,single,yes,Graduate,3.518518518518518,0.0,0.0
978,9991,39,0,10.6,0,14.666666666666666,no,yes,133.1,female,absent,single,no,Dropout,3.509259259259259,0.0,4.07
979,9003,21,5,11.9,3,12.25,no,no,133.1,female,present,single,yes,Graduate,3.3541666666666665,0.0,0.35
982,9773,18,0,12.0,0,12.5,no,no,134.0,female,present,single,yes,Graduate,3.4027777777777777,0.0,0.5
985,9500,19,0,13.714285714285714,0,13.714285714285714,no,no,154.0,female,present,single,yes,Graduate,3.8095238095238093,0.0,0.0
986,9003,28,0,14.875,0,15.8,no,no,150.0,female,present,single,yes,Graduate,4.260416666666667,0.0,0.93
990,9500,18,0,14.728571428571428,0,16.327272727272728,no,no,130.0,male,present,single,yes,Graduate,4.313311688311688,0.0,1.6
991,9130,18,0,12.0,0,14.8,no,no,135.0,male,present,single,yes,Graduate,3.7222222222222223,0.0,2.8
992,9773,18,0,11.428571428571429,0,11.0,no,no,143.0,male,present,single,yes,Dropout,3.115079365079365,0.43,0.0
993,9238,19,3,14.166666666666666,2,13.5,no,no,150.0,male,present,single,yes,Graduate,3.842592592592592,0.67,0.0
994,9238,31,1,12.5,0,14.6,no,no,150.0,male,present,married,yes,Graduate,3.763888888888889,0.0,2.1
995,8014,33,0,14.166666666666666,0,14.333333333333334,yes,no,130.0,male,absent,single,yes,Graduate,3.958333333333333,0.0,0.17
998,9254,19,0,12.666666666666666,0,13.4,no,no,115.0,male,present,single,yes,Graduate,3.6203703703703702,0.0,0.73
999,9070,18,0,12.5,0,13.0,no,no,146.0,male,present,single,yes,Dropout,3.5416666666666665,0.0,0.5
1004,9238,18,0,16.5,0,17.428571428571427,no,no,136.0,male,present,single,yes,Dropout,4.712301587301588,0.0,0.93
1006,9500,18,0,15.228571428571428,0,15.228571428571428,yes,no,139.0,male,present,single,yes,Graduate,4.23015873015873,0.0,0.0
1007,9238,21,5,12.77777777777778,4,13.22222222222222,no,no,140.0,male,present,single,yes,Graduate,3.611111111111111,0.0,0.44
1008,9500,18,0,14.428571428571429,0,14.428571428571429,yes,no,165.0,male,present,single,yes,Graduate,4.007936507936508,0.0,0.0
1009,9670,18,0,13.875,0,13.714285714285714,no,no,122.0,male,present,single,yes,Graduate,3.831845238095238,0.16,0.0
1010,9500,18,0,13.128,0,13.193333333333332,no,no,135.0,male,present,single,yes,Graduate,3.6557407407407405,0.0,0.07
1011,9500,20,0,11.605,0,12.4125,no,no,128.0,male,present,single,yes,Graduate,3.3357638888888888,0.0,0.81
1012,9147,18,0,14.6,0,12.0,yes,no,139.0,male,present,single,yes,Graduate,3.6944444444444446,2.6,0.0
1014,9147,20,0,11.8,0,11.6,yes,no,102.0,male,present,single,yes,Graduate,3.2499999999999996,0.2,0.0
1015,9254,20,0,12.333333333333334,0,12.333333333333334,no,no,116.0,male,present,single,yes,Graduate,3.425925925925926,0.0,0.0
1017,9070,19,5,13.181818181818182,5,12.909090909090908,yes,no,135.0,male,present,single,yes,Graduate,3.6237373737373737,0.27,0.0
1019,9773,19,0,11.833333333333334,0,12.285714285714286,yes,yes,132.0,male,present,single,yes,Graduate,3.349867724867725,0.0,0.45
1020,9500,20,0,12.98125,0,12.98125,yes,no,126.0,male,present,single,yes,Graduate,3.6059027777777777,0.0,0.0
1021,9147,21,4,11.333333333333334,1,11.2,no,no,117.4,male,present,single,yes,Graduate,3.1296296296296293,0.13,0.0
1022,9500,21,0,11.68,0,11.68,no,no,120.0,male,present,single,yes,Graduate,3.2444444444444445,0.0,0.0
1023,9070,20,0,14.5,0,13.5,no,no,116.0,male,present,single,yes,Graduate,3.888888888888889,1.0,0.0
1024,9853,19,0,13.142857142857142,0,12.857142857142858,no,no,111.0,male,present,single,yes,Graduate,3.611111111111111,0.29,0.0
1026,9085,18,0,14.2,0,11.8,no,no,123.0,male,present,single,yes,Graduate,3.611111111111111,2.4,0.0
1027,9254,19,0,11.666666666666666,0,12.2,yes,no,131.0,male,present,single,yes,Graduate,3.314814814814815,0.0,0.53
1028,9500,18,0,13.175,0,14.875,no,no,135.0,male,present,single,yes,Graduate,3.8958333333333335,0.0,1.7
1029,9500,19,0,13.314285714285717,0,13.314285714285717,yes,no,136.0,male,present,single,yes,Graduate,3.698412698412699,0.0,0.0
1032,9773,18,0,13.428571428571429,0,14.142857142857142,no,no,144.0,male,present,single,yes,Graduate,3.829365079365079,0.0,0.71
1037,9238,18,0,14.0,0,13.166666666666666,no,no,154.0,male,present,single,yes,Graduate,3.773148148148148,0.83,0.0
1040,9070,18,0,11.8,0,10.4,no,no,126.0,male,present,single,yes,Graduate,3.0833333333333335,1.4,0.0
1041,9500,20,0,12.791428571428572,0,12.791428571428572,yes,no,124.0,male,present,single,yes,Graduate,3.553174603174603,0.0,0.0
1042,9670,40,4,11.625,3,11.2,no,no,150.0,male,present,married,yes,Graduate,3.170138888888889,0.43,0.0
1043,9500,18,0,11.994444444444444,0,12.43142857142857,yes,no,133.0,male,present,single,yes,Graduate,3.3924823633156964,0.0,0.44
1044,9254,19,0,11.6,0,12.2,no,no,126.0,male,present,single,yes,Graduate,3.305555555555555,0.0,0.6
1046,9773,19,0,13.166666666666666,0,13.166666666666666,no,no,175.0,male,present,single,yes,Dropout,3.657407407407407,0.0,0.0
1047,9500,19,0,14.1,0,14.1,no,no,141.0,male,present,single,yes,Graduate,3.9166666666666665,0.0,0.0
1048,9500,20,0,12.396666666666668,0,12.94285714285714,yes,no,133.0,male,present,single,yes,Graduate,3.5193783068783064,0.0,0.55
1049,9500,18,0,15.014285714285714,0,16.0875,no,no,143.0,male,present,single,yes,Graduate,4.31969246031746,0.0,1.07
1051,9500,19,0,14.05,0,15.1,no,no,134.0,male,present,single,yes,Graduate,4.048611111111111,0.0,1.05
1052,9500,18,0,14.85,0,15.2,no,no,138.0,male,present,single,yes,Dropout,4.173611111111111,0.0,0.35
1053,9085,19,0,13.0,0,13.0,no,no,140.0,male,present,single,yes,Graduate,3.611111111111111,0.0,0.0
1054,9500,19,0,14.7875,0,15.8625,yes,no,142.0,male,present,single,yes,Graduate,4.256944444444444,0.0,1.08
1055,9500,19,0,13.7,0,14.671428571428574,yes,no,118.0,male,present,single,yes,Graduate,3.9404761904761907,0.0,0.97
1056,9500,19,0,12.495714285714286,0,12.242857142857144,yes,no,131.0,male,present,single,yes,Dropout,3.4359126984126984,0.25,0.0
1057,9500,19,0,14.566666666666668,0,14.566666666666668,no,no,130.0,male,present,single,yes,Graduate,4.046296296296297,0.0,0.0
1059,9500,20,0,12.685714285714283,0,12.685714285714283,no,no,130.0,male,present,single,yes,Graduate,3.523809523809523,0.0,0.0
1062,8014,27,0,11.0,0,11.166666666666666,no,no,130.0,male,absent,single,yes,Graduate,3.0787037037037033,0.0,0.17
1063,9500,18,0,14.445,0,14.445,no,no,149.0,male,present,single,yes,Graduate,4.0125,0.0,0.0
1065,8014,23,7,14.0,4,14.625,no,yes,130.0,male,absent,single,no,Dropout,3.975694444444444,0.0,0.62
1066,9500,19,0,13.416666666666666,0,13.416666666666666,yes,no,145.0,male,present,single,yes,Graduate,3.7268518518518516,0.0,0.0
1067,9147,18,0,12.333333333333334,0,11.4,no,no,130.0,male,present,single,yes,Graduate,3.2962962962962963,0.93,0.0
1068,9500,20,0,13.1,0,14.8125,no,no,128.0,male,present,single,yes,Graduate,3.876736111111111,0.0,1.71
1070,9500,19,0,14.75,0,14.75,yes,no,140.0,male,present,single,yes,Graduate,4.097222222222222,0.0,0.0
1071,9238,19,3,13.142857142857142,2,14.333333333333334,yes,no,140.0,male,present,single,yes,Graduate,3.8161375661375656,0.0,1.19
1074,9238,18,0,12.4,0,13.0,no,no,132.0,male,present,single,yes,Graduate,3.5277777777777777,0.0,0.6
1075,9773,18,0,13.333333333333334,0,12.0,no,no,116.0,male,present,single,yes,Graduate,3.5185185185185186,1.33,0.0
1076,9853,28,11,11.727272727272728,8,12.0,no,no,120.0,male,present,single,no,Dropout,3.2954545454545454,0.0,0.27
1079,9500,19,0,13.533333333333331,0,13.614285714285714,yes,no,112.0,male,present,single,yes,Graduate,3.770502645502645,0.0,0.08
1080,9070,20,0,13.166666666666666,0,12.666666666666666,yes,no,126.0,male,present,single,yes,Graduate,3.587962962962963,0.5,0.0
1081,9254,19,0,13.2,0,11.0,yes,no,120.0,male,present,single,yes,Graduate,3.3611111111111107,2.2,0.0
1083,9853,19,0,13.428571428571429,0,14.857142857142858,yes,no,153.0,male,present,single,yes,Graduate,3.9285714285714284,0.0,1.43
1084,9070,18,1,12.714285714285714,0,12.625,yes,no,124.0,male,present,single,yes,Graduate,3.519345238095238,0.09,0.0
1086,9670,19,0,13.666666666666666,0,13.666666666666666,yes,no,126.0,male,present,single,yes,Graduate,3.796296296296296,0.0,0.0
1087,9773,20,0,11.0,0,13.166666666666666,no,yes,133.1,male,present,single,yes,Graduate,3.356481481481481,0.0,2.17
1092,9238,18,0,11.0,0,11.666666666666666,no,no,143.0,male,present,single,yes,Graduate,3.148148148148148,0.0,0.67
1093,9773,20,0,12.0,0,11.571428571428571,no,no,130.0,male,present,single,yes,Dropout,3.2738095238095233,0.43,0.0
1094,9500,19,0,13.308571428571428,0,12.55,yes,no,136.0,male,present,single,yes,Graduate,3.5914682539682543,0.76,0.0
1098,9773,20,0,12.666666666666666,0,12.833333333333334,yes,no,135.0,male,present,single,yes,Graduate,3.5416666666666665,0.0,0.17
1099,9500,19,0,14.07125,0,14.07125,yes,no,133.0,male,present,single,yes,Graduate,3.9086805555555553,0.0,0.0
1106,9500,20,0,14.901428571428571,0,14.901428571428571,yes,no,124.0,male,present,single,yes,Dropout,4.139285714285714,0.0,0.0
1107,9500,18,0,12.65,0,12.445555555555554,yes,yes,135.0,male,present,single,yes,Graduate,3.485493827160494,0.2,0.0
1108,9991,22,7,11.0,5,10.6,no,no,110.0,male,absent,single,no,Dropout,3.0,0.4,0.0
1110,9003,19,0,12.0,0,12.666666666666666,no,no,140.0,male,present,single,yes,Graduate,3.4259259259259256,0.0,0.67
1111,9500,19,0,12.135714285714286,0,13.328571428571427,yes,no,126.0,male,present,single,yes,Graduate,3.5367063492063493,0.0,1.19
1114,9500,19,0,13.766666666666666,0,14.051428571428572,yes,no,145.0,male,present,single,yes,Graduate,3.8636243386243385,0.0,0.28
1115,9500,19,0,13.11625,0,13.11625,no,no,124.0,male,present,single,yes,Graduate,3.6434027777777778,0.0,0.0
1117,9500,20,0,12.7,0,13.571428571428571,no,no,138.0,male,present,single,yes,Graduate,3.6488095238095237,0.0,0.87
1119,9500,20,0,12.333333333333334,0,12.333333333333334,yes,no,127.0,male,present,single,yes,Graduate,3.425925925925926,0.0,0.0
1121,9670,20,0,13.333333333333334,0,13.2,no,no,111.0,male,present,single,yes,Graduate,3.6851851851851847,0.13,0.0
1122,9500,21,4,14.355555555555554,5,13.49375,no,no,100.0,male,present,single,yes,Graduate,3.8679591049382713,0.86,0.0
1123,9003,19,0,13.0,0,13.0,yes,yes,160.0,male,present,single,yes,Graduate,3.611111111111111,0.0,0.0
1124,9773,19,0,12.833333333333334,0,13.5,yes,no,152.0,male,present,single,yes,Graduate,3.6574074074074074,0.0,0.67
1126,9500,28,0,17.005555555555556,1,16.582222222222224,no,no,133.8,male,present,single,yes,Graduate,4.66496913580247,0.42,0.0
1127,9238,19,0,10.6,0,11.0,yes,yes,125.0,male,present,single,no,Graduate,3.0,0.0,0.4
1128,9147,18,0,14.0,0,13.6,yes,no,150.0,male,present,single,yes,Graduate,3.8333333333333335,0.4,0.0
1129,9500,18,0,12.114285714285714,0,12.114285714285714,yes,no,143.0,male,present,married,yes,Graduate,3.3650793650793647,0.0,0.0
1130,9500,18,0,13.05875,0,13.05875,yes,no,145.0,male,present,single,yes,Graduate,3.6274305555555553,0.0,0.0
1131,9500,22,4,13.285714285714286,4,13.285714285714286,no,no,120.0,male,present,single,yes,Graduate,3.6904761904761907,0.0,0.0
1133,9500,18,0,14.071428571428571,0,15.1625,yes,no,145.0,male,present,single,yes,Graduate,4.060267857142857,0.0,1.09
1136,9070,18,0,14.0,0,13.625,yes,no,136.0,male,present,single,yes,Graduate,3.8368055555555554,0.38,0.0
1138,9500,18,0,13.297142857142855,0,13.297142857142855,no,no,141.0,male,present,single,yes,Graduate,3.693650793650793,0.0,0.0
1139,9085,20,0,13.923076923076923,0,14.25,no,no,149.0,male,present,single,yes,Graduate,3.9129273504273505,0.0,0.33
1140,9500,18,0,13.37,0,12.833333333333334,no,no,130.0,male,present,single,yes,Graduate,3.6393518518518517,0.54,0.0
1143,9853,18,0,13.333333333333334,0,12.571428571428571,yes,yes,152.0,male,present,single,yes,Graduate,3.5978835978835977,0.76,0.0
1145,8014,22,0,13.4,0,12.2,no,no,107.0,male,absent,single,yes,Graduate,3.555555555555556,1.2,0.0
1149,9500,18,0,13.485714285714284,0,13.485714285714284,no,no,148.0,male,present,single,yes,Graduate,3.7460317460317456,0.0,0.0
1150,9070,18,0,12.0,0,11.285714285714286,yes,no,130.0,male,present,single,yes,Graduate,3.2341269841269837,0.71,0.0
1154,9500,19,0,13.258571428571427,0,13.258571428571427,no,no,135.0,male,present,single,yes,Graduate,3.6829365079365073,0.0,0.0
1157,9254,21,0,13.571428571428571,0,12.5,yes,no,126.0,male,present,single,yes,Graduate,3.6210317460317456,1.07,0.0
1158,9773,20,0,11.8,0,11.833333333333334,yes,no,150.0,male,present,single,yes,Graduate,3.2824074074074074,0.0,0.03
1159,9147,20,0,14.2,0,13.285714285714286,yes,no,121.0,male,present,single,yes,Graduate,3.8174603174603177,0.91,0.0
1160,9991,41,0,11.0,0,11.8,no,no,133.1,male,absent,single,yes,Graduate,3.1666666666666665,0.0,0.8
1162,9500,18,0,14.652857142857142,0,14.652857142857142,no,no,139.0,male,present,single,yes,Graduate,4.0702380952380945,0.0,0.0
1163,8014,35,0,11.333333333333334,0,11.333333333333334,yes,no,160.0,male,absent,married,yes,Graduate,3.1481481481481484,0.0,0.0
1165,8014,37,7,13.727272727272728,4,14.75,no,no,140.0,male,absent,single,yes,Graduate,3.9551767676767673,0.0,1.02
1166,9147,30,4,11.75,3,11.142857142857142,no,no,130.0,male,present,married,yes,Dropout,3.179563492063492,0.61,0.0
1167,9773,23,0,12.333333333333334,0,13.0,no,no,132.0,female,present,single,yes,Graduate,3.5185185185185186,0.0,0.67
1168,9773,20,0,14.0,0,13.857142857142858,yes,no,139.0,male,present,single,yes,Dropout,3.869047619047619,0.14,0.0
1170,9147,19,0,11.2,0,13.2,no,no,117.0,female,present,single,yes,Graduate,3.3888888888888884,0.0,2.0
1171,9500,18,0,15.07,0,15.07,yes,no,137.0,female,present,single,yes,Graduate,4.186111111111111,0.0,0.0
1176,9238,18,0,13.571428571428571,0,12.166666666666666,no,no,130.0,male,present,single,yes,Graduate,3.5747354497354493,1.4,0.0
1177,9070,21,0,14.6,0,14.2,no,no,152.0,female,present,single,yes,Graduate,3.9999999999999996,0.4,0.0
1179,9130,19,0,12.625,0,12.5125,yes,no,140.0,male,present,single,yes,Graduate,3.491319444444444,0.11,0.0
1182,9500,19,0,12.60625,0,11.9,no,no,133.1,male,present,single,yes,Graduate,3.4036458333333335,0.71,0.0
1183,9085,21,7,13.75,4,13.2,no,yes,140.0,male,present,single,no,Dropout,3.7430555555555554,0.55,0.0
1185,9238,18,0,11.142857142857142,0,12.285714285714286,yes,no,135.0,male,present,single,yes,Graduate,3.253968253968254,0.0,1.14
1189,9670,18,0,14.0,0,13.142857142857142,yes,no,141.0,male,present,single,yes,Graduate,3.7698412698412698,0.86,0.0
1191,9500,19,0,12.04142857142857,0,12.04142857142857,no,no,139.0,male,present,single,yes,Graduate,3.3448412698412695,0.0,0.0
1193,9254,39,12,13.76923076923077,9,14.583333333333334,no,no,130.0,male,present,single,yes,Graduate,3.937856125356125,0.0,0.81
1194,9003,29,13,15.444444444444445,11,15.307692307692308,no,no,130.0,male,present,married,yes,Graduate,4.271130104463438,0.14,0.0
1198,9238,18,0,14.5,0,15.166666666666666,no,no,147.0,male,present,single,no,Graduate,4.12037037037037,0.0,0.67
1199,9085,23,0,15.571428571428571,0,16.375,no,no,140.0,male,present,single,yes,Graduate,4.4370039682539675,0.0,0.8
1200,9130,18,0,15.571428571428571,0,14.714285714285714,no,no,161.0,male,present,single,yes,Graduate,4.2063492063492065,0.86,0.0
1201,8014,32,0,13.8,0,12.166666666666666,no,no,133.1,male,absent,married,yes,Graduate,3.606481481481482,1.63,0.0
1206,9500,22,11,12.333333333333334,11,12.333333333333334,no,yes,120.0,male,present,single,yes,Graduate,3.425925925925926,0.0,0.0
1212,9500,35,0,13.63,0,13.63,yes,no,133.1,male,present,married,yes,Graduate,3.7861111111111114,0.0,0.0
1215,9500,18,0,16.9,0,16.37777777777778,yes,no,176.0,male,present,single,yes,Graduate,4.621913580246914,0.52,0.0
1217,8014,22,3,12.5,2,13.285714285714286,no,no,120.0,male,absent,single,yes,Graduate,3.581349206349206,0.0,0.79
1218,9500,19,0,12.764285714285714,0,12.764285714285714,no,no,140.0,male,present,single,yes,Graduate,3.5456349206349205,0.0,0.0
1219,9147,18,0,13.75,0,12.166666666666666,yes,no,143.0,male,present,single,yes,Graduate,3.5995370370370368,1.58,0.0
1221,9500,18,0,14.604285714285712,0,15.68333333333333,yes,no,132.0,male,present,single,yes,Graduate,4.206613756613756,0.0,1.08
1223,8014,33,0,13.833333333333334,0,12.5,yes,yes,100.0,male,absent,married,yes,Graduate,3.6574074074074074,1.33,0.0
1224,9500,19,0,13.57625,0,13.57625,yes,no,137.0,male,present,single,yes,Graduate,3.7711805555555555,0.0,0.0
1225,9238,18,0,15.142857142857142,0,15.833333333333334,yes,no,153.0,male,present,single,yes,Graduate,4.302248677248677,0.0,0.69
1227,9238,20,0,11.2,0,12.0,no,no,145.0,male,present,single,yes,Graduate,3.222222222222222,0.0,0.8
1228,9500,18,0,13.76375,0,13.76375,no,no,137.0,male,present,single,yes,Graduate,3.8232638888888886,0.0,0.0
1230,9238,22,0,10.714285714285714,0,12.2,yes,no,120.0,male,present,single,yes,Graduate,3.182539682539682,0.0,1.49
1231,9238,20,0,12.166666666666666,0,11.666666666666666,no,yes,122.0,male,present,single,yes,Graduate,3.310185185185185,0.5,0.0
1232,9500,23,1,14.357142857142858,1,14.357142857142858,no,no,130.0,male,present,single,yes,Graduate,3.988095238095238,0.0,0.0
1233,9773,19,0,12.833333333333334,0,12.666666666666666,no,no,133.1,male,present,single,yes,Graduate,3.5416666666666665,0.17,0.0
1234,9500,19,0,13.925714285714283,0,13.925714285714283,no,no,150.0,male,present,single,yes,Graduate,3.8682539682539674,0.0,0.0
1236,9500,18,0,13.44285714285714,0,13.744444444444444,no,no,141.0,male,present,single,yes,Graduate,3.776014109347442,0.0,0.3
1238,9003,20,0,13.125,0,13.2,no,no,150.0,female,present,single,yes,Graduate,3.65625,0.0,0.07
1243,9085,21,2,13.666666666666666,2,13.0,no,no,140.0,male,present,single,yes,Graduate,3.7037037037037033,0.67,0.0
1246,9238,18,0,13.5,0,12.833333333333334,yes,no,128.0,male,present,single,yes,Graduate,3.6574074074074074,0.67,0.0
1250,9254,20,0,14.833333333333334,0,16.0,no,no,158.0,male,present,single,yes,Graduate,4.282407407407407,0.0,1.17
1251,9773,20,0,11.833333333333334,0,12.857142857142858,no,no,137.0,male,present,single,yes,Graduate,3.429232804232804,0.0,1.02
1252,9670,18,0,12.0,0,12.333333333333334,yes,no,123.0,male,present,single,yes,Graduate,3.3796296296296298,0.0,0.33
1256,9238,19,0,12.0,0,12.857142857142858,no,no,115.0,male,present,single,yes,Graduate,3.4523809523809526,0.0,0.86
1257,9130,19,0,11.677777777777775,0,13.8,no,no,132.0,male,present,single,yes,Graduate,3.53858024691358,0.0,2.12
1258,9500,19,0,13.6,0,13.6,yes,no,132.0,male,present,single,yes,Graduate,3.7777777777777777,0.0,0.0
1259,9085,19,0,16.0,0,15.875,no,no,143.0,male,present,single,yes,Graduate,4.427083333333333,0.12,0.0
1260,9238,20,0,11.8,0,11.5,no,no,137.0,male,present,single,yes,Graduate,3.236111111111111,0.3,0.0
1263,9853,34,0,16.142857142857142,0,16.2,yes,yes,130.0,male,present,married,yes,Graduate,4.492063492063492,0.0,0.06
1264,9500,18,0,11.785714285714286,0,11.785714285714286,yes,no,135.0,male,present,single,yes,Graduate,3.2738095238095237,0.0,0.0
1265,9500,18,0,13.42375,0,13.42375,yes,no,137.0,male,present,single,yes,Graduate,3.7288194444444445,0.0,0.0
1266,9670,20,0,12.5,0,14.166666666666666,no,no,100.0,male,present,single,yes,Graduate,3.7037037037037033,0.0,1.67
1267,9500,20,0,12.464285714285714,0,12.464285714285714,yes,no,127.0,male,present,single,yes,Graduate,3.462301587301587,0.0,0.0
1274,9991,32,0,11.6,0,12.333333333333334,no,no,120.0,male,absent,single,yes,Graduate,3.324074074074074,0.0,0.73
1275,9254,19,0,12.166666666666666,0,13.5,no,no,136.0,male,present,single,yes,Graduate,3.5648148148148144,0.0,1.33
1279,9238,20,0,11.714285714285714,0,12.625,yes,no,120.0,male,present,single,yes,Graduate,3.3804563492063493,0.0,0.91
1280,9773,18,0,13.5,0,13.0,yes,no,143.0,female,present,single,yes,Graduate,3.6805555555555554,0.5,0.0
1281,9500,20,0,13.024285714285714,0,13.024285714285714,yes,no,133.1,female,present,single,yes,Graduate,3.617857142857143,0.0,0.0
1283,9119,18,0,17.333333333333332,0,18.571428571428573,yes,no,168.0,female,present,single,yes,Graduate,4.9867724867724865,0.0,1.24
1285,9853,19,0,13.666666666666666,0,12.5,no,no,127.0,female,present,single,yes,Dropout,3.6342592592592586,1.17,0.0
1287,9238,19,0,12.833333333333334,0,11.833333333333334,no,no,137.0,female,present,single,yes,Graduate,3.425925925925926,1.0,0.0
1289,9500,22,0,14.333333333333334,0,13.771428571428572,no,no,110.0,female,present,single,yes,Graduate,3.903439153439154,0.56,0.0
1291,9500,19,0,14.285714285714286,0,14.285714285714286,no,no,143.0,female,present,single,yes,Graduate,3.9682539682539684,0.0,0.0
1293,9119,20,0,14.8,0,17.6,no,no,124.0,female,present,single,yes,Graduate,4.500000000000001,0.0,2.8
1298,9991,22,0,12.428571428571429,0,11.8,no,no,145.0,female,absent,single,yes,Graduate,3.3650793650793647,0.63,0.0
1303,9670,21,5,12.1,2,13.333333333333334,no,yes,126.0,female,present,single,yes,Graduate,3.5324074074074074,0.0,1.23
1304,9773,19,0,14.714285714285714,0,15.0,yes,no,137.0,male,present,single,yes,Graduate,4.126984126984127,0.0,0.29
1305,9773,18,0,12.666666666666666,0,12.833333333333334,no,no,130.0,male,present,single,yes,Graduate,3.5416666666666665,0.0,0.17
1306,9003,23,7,14.384615384615383,5,13.3,yes,no,150.0,male,present,single,yes,Graduate,3.8450854700854697,1.08,0.0
1307,9147,18,0,13.4,0,12.2,yes,no,147.0,male,present,single,yes,Graduate,3.555555555555556,1.2,0.0
1308,9500,18,0,13.314285714285717,0,13.314285714285717,no,no,140.0,male,present,single,yes,Graduate,3.698412698412699,0.0,0.0
1309,9500,19,0,11.98857142857143,0,11.98857142857143,no,no,132.0,male,present,single,yes,Graduate,3.3301587301587303,0.0,0.0
1310,9147,21,6,11.545454545454543,3,12.88888888888889,no,no,130.0,male,present,single,yes,Graduate,3.393658810325477,0.0,1.34
1311,9085,18,0,16.46153846153846,0,13.875,yes,no,130.0,male,present,single,yes,Graduate,4.213408119658119,2.59,0.0
1312,9773,24,0,13.666666666666666,0,12.833333333333334,yes,no,151.0,male,present,single,yes,Graduate,3.6805555555555554,0.83,0.0
1313,9500,18,0,12.65,0,13.411111111111111,no,no,144.0,male,present,single,yes,Dropout,3.6195987654320985,0.0,0.76
1315,9500,20,0,14.37,0,14.65,no,no,131.0,male,present,single,yes,Graduate,4.030555555555555,0.0,0.28
1319,9853,19,0,12.6,0,11.2,no,no,131.0,male,present,single,yes,Graduate,3.305555555555555,1.4,0.0
